0, 1024, 64, 64, 7, 1
128, 1024, 64, 64, 7, 1
128, 1024, 64, 64, 7, 1
192, 1024, 64, 64, 7, 1
256, 1024, 64, 64, 7, 1
448, 1024, 64, 64, 7, 1
1216, 1024, 64, 64, 7, 1
1216, 1024, 64, 64, 7, 1
1152, 1024, 64, 64, 7, 1
1344, 1024, 64, 64, 7, 1
1408, 1024, 64, 64, 7, 1
1408, 1024, 64, 64, 7, 1
1600, 1024, 64, 64, 7, 1
1664, 1024, 64, 64, 7, 1
1536, 1024, 64, 64, 7, 1
128, 960, 64, 64, 2, 1
192, 960, 64, 64, 2, 1
256, 960, 64, 64, 2, 1
320, 960, 64, 64, 2, 1
448, 960, 64, 64, 2, 1
384, 960, 64, 64, 2, 1
512, 960, 64, 64, 2, 1
1152, 960, 64, 64, 2, 1
1216, 960, 64, 64, 2, 1
1344, 960, 64, 64, 2, 1
1408, 960, 64, 64, 2, 1
1472, 960, 64, 64, 2, 1
1536, 960, 64, 64, 2, 1
1536, 960, 64, 64, 2, 1
1600, 960, 64, 64, 2, 1
1664, 960, 64, 64, 2, 1
1664, 960, 64, 64, 2, 1
1728, 960, 64, 64, 2, 1
1792, 960, 64, 64, 2, 1
1856, 960, 64, 64, 2, 1
1920, 960, 64, 64, 2, 1
1792, 1024, 64, 64, 7, 1
1856, 1024, 64, 64, 7, 1
1920, 1024, 64, 64, 7, 1
2112, 1024, 64, 64, 7, 1
2176, 1024, 64, 64, 7, 1
2368, 1024, 64, 64, 7, 1
2176, 1024, 64, 64, 7, 1
2112, 1024, 64, 64, 7, 1
1984, 1024, 64, 64, 7, 1
2304, 960, 64, 64, 2, 1
2240, 960, 64, 64, 2, 1
2240, 960, 64, 64, 2, 1
2176, 960, 64, 64, 2, 1
2112, 960, 64, 64, 2, 1
2048, 960, 64, 64, 2, 1
2048, 960, 64, 64, 2, 1
64, 960, 64, 64, 2, 1
64, 960, 64, 64, 2, 1
0, 960, 64, 64, 2, 1
640, 768, 64, 64, 2, 1
704, 768, 64, 64, 2, 1
768, 768, 64, 64, 2, 1
832, 768, 64, 64, 2, 1
832, 768, 64, 64, 2, 1
832, 768, 64, 64, 2, 1
896, 768, 64, 64, 2, 1
1024, 768, 64, 64, 2, 1
1088, 768, 64, 64, 4, 1
576, 768, 64, 64, 1, 1
1088, 832, 64, 64, 3, 1
1088, 896, 64, 64, 3, 1
576, 832, 64, 64, 6, 1
576, 896, 64, 64, 6, 1
576, 960, 64, 64, 16, 1
1088, 960, 64, 64, 15, 1
768, 832, 64, 64, 10, 1
832, 832, 64, 64, 10, 1
896, 832, 64, 64, 10, 1
640, 896, 64, 64, 3, 1
640, 896, 64, 64, 3, 1
640, 960, 64, 64, 3, 1
640, 832, 64, 64, 13, 1
704, 832, 64, 64, 10, 1
960, 832, 64, 64, 10, 1
1024, 832, 64, 64, 14, 1
1024, 896, 64, 64, 6, 1
1024, 960, 64, 64, 6, 1
576, 1024, 64, 64, 7, 1
640, 1024, 64, 64, 3, 1
1024, 1024, 64, 64, 6, 1
1280, 640, 64, 64, 8, 1
1280, 704, 64, 64, 8, 1
1280, 768, 64, 64, 8, 1
1280, 832, 64, 64, 8, 1
1280, 896, 64, 64, 8, 1
1280, 960, 64, 64, 8, 1
1280, 960, 64, 64, 8, 1
1280, 1024, 64, 64, 8, 1
640, 704, 64, 64, 12, 0
960, 704, 64, 64, 12, 0
1600, 960, 64, 64, 8, 1
1600, 1024, 64, 64, 8, 1
1600, 896, 64, 64, 8, 1
1600, 832, 64, 64, 8, 1
1600, 768, 64, 64, 8, 1
1600, 704, 64, 64, 8, 1
1600, 640, 64, 64, 8, 1
1600, 640, 64, 64, 8, 1
1600, 576, 64, 64, 8, 1
1600, 512, 64, 64, 8, 1
1920, 320, 64, 64, 5, 1
1920, 384, 64, 64, 8, 1
1920, 448, 64, 64, 8, 1
1920, 512, 64, 64, 8, 1
1920, 576, 64, 64, 8, 1
1920, 640, 64, 64, 8, 1
1920, 704, 64, 64, 8, 1
1920, 704, 64, 64, 8, 1
1920, 832, 64, 64, 8, 1
1920, 832, 64, 64, 8, 1
1920, 896, 64, 64, 8, 1
1920, 768, 64, 64, 8, 1
1920, 1024, 64, 64, 8, 1
1920, 960, 64, 64, 8, 1
1984, 960, 64, 64, 2, 1
2176, 320, 64, 64, 9, 1
2240, 256, 64, 64, 4, 1
2176, 256, 64, 64, 1, 1
2240, 320, 64, 64, 11, 1
2240, 192, 64, 64, 12, 0
2496, 448, 64, 64, 6, 1
2496, 512, 64, 64, 6, 1
3008, 448, 64, 64, 3, 1
3008, 512, 64, 64, 3, 1
2560, 512, 64, 64, 7, 1
2560, 448, 64, 64, 7, 1
2624, 512, 64, 64, 7, 1
2624, 448, 64, 64, 7, 1
2944, 448, 64, 64, 7, 1
2944, 512, 64, 64, 7, 1
2432, 576, 64, 64, 1, 1
2432, 640, 64, 64, 6, 1
2432, 640, 64, 64, 6, 1
2432, 704, 64, 64, 6, 1
